0,class,student_id,English,Math
0,0,0,46.0,9.0
1,0,1,9.0,92.0
2,0,2,37.0,77.0
3,0,3,52.1,12.0
4,0,4,95.0,63.0
5,0,5,51.0,89.0
6,0,6,12.0,90.0
7,0,7,23.0,21.0
8,0,8,93.0,92.0
9,0,9,95.0,59.0
10,1,0,78.0,71.0
11,1,1,57.0,85.0
12,1,2,39.0,61.0
13,1,3,75.0,90.0
14,1,4,6.0,63.0
15,1,5,80.0,74.0
16,1,6,78.0,43.0
17,1,7,98.0,12.0
18,1,8,97.0,3.0
19,1,9,52.1,70.0
20,2,0,3.0,1.0
21,2,1,15.0,41.0
22,2,2,91.0,84.0
23,2,3,89.0,53.1
24,2,4,58.0,51.0
25,2,5,76.0,78.0
26,2,6,48.0,32.0
27,2,7,1.0,68.0
28,2,8,88.0,27.0
29,2,9,90.0,65.0
30,3,0,22.0,69.0
31,3,1,34.0,84.0
32,3,2,94.0,74.0
33,3,3,66.0,22.0
34,3,4,81.0,61.0
35,3,5,15.0,53.1
36,3,6,12.0,80.0
37,3,7,77.0,78.0
38,3,8,58.0,20.0
39,3,9,58.0,93.0
40,4,0,92.0,65.0
41,4,1,86.0,4.0
42,4,2,8.0,46.0
43,4,3,15.0,41.0
44,4,4,46.0,27.0
45,4,5,95.0,66.0
46,4,6,52.1,65.0
47,4,7,20.0,56.0
48,4,8,12.0,20.0
49,4,9,83.0,98.0
50,5,0,13.0,82.0
51,5,1,35.0,91.0
52,5,2,39.0,93.0
53,5,3,39.0,23.0
54,5,4,77.0,75.0
55,5,5,32.0,28.0
56,5,6,26.0,36.0
57,5,7,52.0,64.0
58,5,8,80.0,68.0
59,5,9,59.0,77.0
60,6,0,1.0,32.0
61,6,1,57.0,60.0
62,6,2,68.0,15.0
63,6,3,56.0,17.0
64,6,4,99.0,76.0
65,6,5,26.0,90.0
66,6,6,87.0,52.0
67,6,7,77.0,50.0
68,6,8,26.0,96.0
69,6,9,61.0,21.0
70,7,0,97.0,54.0
71,7,1,51.0,67.0
72,7,2,77.0,71.0
73,7,3,22.0,17.0
74,7,4,70.0,41.0
75,7,5,92.0,18.0
76,7,6,15.0,28.0
77,7,7,47.0,50.0
78,7,8,80.0,9.0
79,7,9,90.0,16.0
80,8,0,96.0,57.0
81,8,1,12.0,5.0
82,8,2,7.0,75.0
83,8,3,11.0,61.0
84,8,4,17.0,13.0
85,8,5,19.0,48.0
86,8,6,63.0,71.0
87,8,7,51.0,63.0
88,8,8,7.0,76.0
89,8,9,68.0,61.0
90,9,0,13.0,55.0
91,9,1,96.0,31.0
92,9,2,27.0,36.0
93,9,3,77.0,26.0
94,9,4,22.0,46.0
95,9,5,41.0,49.0
96,9,6,15.0,18.0
97,9,7,78.0,93.0
98,9,8,60.0,54.0
99,9,9,18.0,54.0
