0,class,student_id,English,Math,Math_adjusted,math_diff,output
1,0,1,9.0,92.0,95.9,0.0,"English: 9.0, Math: 92.0"
8,0,8,93.0,92.0,95.9,2.0,"English: 93.0, Math: 92.0"
6,0,6,12.0,90.0,94.9,1.0,"English: 12.0, Math: 90.0"
5,0,5,51.0,89.0,94.3,12.0,"English: 51.0, Math: 89.0"
2,0,2,37.0,77.0,87.7,14.0,"English: 37.0, Math: 77.0"
4,0,4,95.0,63.0,79.4,4.0,"English: 95.0, Math: 63.0"
9,0,9,95.0,59.0,76.8,38.0,"English: 95.0, Math: 59.0"
7,0,7,23.0,21.0,45.8,9.0,"English: 23.0, Math: 21.0"
3,0,3,52.1,12.0,34.6,3.0,"English: 52.1, Math: 12.0"
0,0,0,46.0,9.0,30.0,0.0,"English: 46.0, Math: 9.0"
13,1,3,75.0,90.0,94.9,5.0,"English: 75.0, Math: 90.0"
11,1,1,57.0,85.0,92.2,11.0,"English: 57.0, Math: 85.0"
15,1,5,80.0,74.0,86.0,3.0,"English: 80.0, Math: 74.0"
10,1,0,78.0,71.0,84.3,1.0,"English: 78.0, Math: 71.0"
19,1,9,52.1,70.0,83.7,7.0,"English: 52.1, Math: 70.0"
14,1,4,6.0,63.0,79.4,2.0,"English: 6.0, Math: 63.0"
12,1,2,39.0,61.0,78.1,18.0,"English: 39.0, Math: 61.0"
16,1,6,78.0,43.0,65.6,31.0,"English: 78.0, Math: 43.0"
17,1,7,98.0,12.0,34.6,9.0,"English: 98.0, Math: 12.0"
18,1,8,97.0,3.0,17.3,0.0,"English: 97.0, Math: 3.0"
22,2,2,91.0,84.0,91.7,6.0,"English: 91.0, Math: 84.0"
25,2,5,76.0,78.0,88.3,10.0,"English: 76.0, Math: 78.0"
27,2,7,1.0,68.0,82.5,3.0,"English: 1.0, Math: 68.0"
29,2,9,90.0,65.0,80.6,11.899999999999999,"English: 90.0, Math: 65.0"
23,2,3,89.0,53.1,72.9,2.1000000000000014,"English: 89.0, Math: 53.1"
24,2,4,58.0,51.0,71.4,10.0,"English: 58.0, Math: 51.0"
21,2,1,15.0,41.0,64.0,9.0,"English: 15.0, Math: 41.0"
26,2,6,48.0,32.0,56.6,5.0,"English: 48.0, Math: 32.0"
28,2,8,88.0,27.0,52.0,26.0,"English: 88.0, Math: 27.0"
20,2,0,3.0,1.0,10.0,0.0,"English: 3.0, Math: 1.0"
39,3,9,58.0,93.0,96.4,9.0,"English: 58.0, Math: 93.0"
31,3,1,34.0,84.0,91.7,4.0,"English: 34.0, Math: 84.0"
36,3,6,12.0,80.0,89.4,2.0,"English: 12.0, Math: 80.0"
37,3,7,77.0,78.0,88.3,4.0,"English: 77.0, Math: 78.0"
32,3,2,94.0,74.0,86.0,5.0,"English: 94.0, Math: 74.0"
30,3,0,22.0,69.0,83.1,8.0,"English: 22.0, Math: 69.0"
34,3,4,81.0,61.0,78.1,7.899999999999999,"English: 81.0, Math: 61.0"
35,3,5,15.0,53.1,72.9,31.1,"English: 15.0, Math: 53.1"
33,3,3,66.0,22.0,46.9,2.0,"English: 66.0, Math: 22.0"
38,3,8,58.0,20.0,44.7,0.0,"English: 58.0, Math: 20.0"
49,4,9,83.0,98.0,99.0,32.0,"English: 83.0, Math: 98.0"
45,4,5,95.0,66.0,81.2,1.0,"English: 95.0, Math: 66.0"
40,4,0,92.0,65.0,80.6,0.0,"English: 92.0, Math: 65.0"
46,4,6,52.1,65.0,80.6,9.0,"English: 52.1, Math: 65.0"
47,4,7,20.0,56.0,74.8,10.0,"English: 20.0, Math: 56.0"
42,4,2,8.0,46.0,67.8,5.0,"English: 8.0, Math: 46.0"
43,4,3,15.0,41.0,64.0,14.0,"English: 15.0, Math: 41.0"
44,4,4,46.0,27.0,52.0,7.0,"English: 46.0, Math: 27.0"
48,4,8,12.0,20.0,44.7,16.0,"English: 12.0, Math: 20.0"
41,4,1,86.0,4.0,20.0,0.0,"English: 86.0, Math: 4.0"
